sent_idx,id,source,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
5515,103038,unknown_local_sample,mbert,Multilingual,17,3,30,1.7647058823529411,0,0.16666666666666666,29,1.7058823529411764,0,0.1724137931034483,-1,-0.03333333333333333
5515,103038,unknown_local_sample,xlmr,Multilingual,17,3,25,1.4705882352941178,0,0.12,26,1.5294117647058822,0,0.15384615384615385,1,0.04
5515,103038,unknown_local_sample,mt5,Multilingual,17,3,33,1.9411764705882353,0,0.3103448275862069,34,2.0,0,0.26666666666666666,1,0.030303030303030304
5515,103038,unknown_local_sample,rembert,Multilingual,17,3,26,1.5294117647058822,0,0.2,25,1.4705882352941178,0,0.20833333333333334,-1,-0.038461538461538464
5515,103038,unknown_local_sample,ro_bert,Monolingual,17,3,21,1.2352941176470589,0,0.19047619047619047,20,1.1764705882352942,0,0.15,-1,-0.047619047619047616
5515,103038,unknown_local_sample,robert,Monolingual,17,3,26,1.5294117647058822,0,0.23076923076923078,26,1.5294117647058822,0,0.23076923076923078,0,0.0
5516,243183,unknown_local_sample,mbert,Multilingual,13,7,21,1.6153846153846154,0,0.19047619047619047,25,1.9230769230769231,0,0.28,4,0.19047619047619047
5516,243183,unknown_local_sample,xlmr,Multilingual,13,7,19,1.4615384615384615,0,0.15789473684210525,20,1.5384615384615385,0,0.2,1,0.05263157894736842
5516,243183,unknown_local_sample,mt5,Multilingual,13,7,18,1.3846153846153846,0,0.1111111111111111,23,1.7692307692307692,0,0.22727272727272727,5,0.2777777777777778
5516,243183,unknown_local_sample,rembert,Multilingual,13,7,19,1.4615384615384615,0,0.15789473684210525,20,1.5384615384615385,0,0.15,1,0.05263157894736842
5516,243183,unknown_local_sample,ro_bert,Monolingual,13,7,17,1.3076923076923077,0,0.11764705882352941,16,1.2307692307692308,0,0.125,-1,-0.058823529411764705
5516,243183,unknown_local_sample,robert,Monolingual,13,7,16,1.2307692307692308,0,0.0625,16,1.2307692307692308,0,0.0625,0,0.0
5517,141892,unknown_local_sample,mbert,Multilingual,16,1,28,1.75,0,0.21428571428571427,29,1.8125,0,0.2413793103448276,1,0.03571428571428571
5517,141892,unknown_local_sample,xlmr,Multilingual,16,1,25,1.5625,0,0.12,27,1.6875,0,0.11538461538461539,2,0.08
5517,141892,unknown_local_sample,mt5,Multilingual,16,1,31,1.9375,0,0.21428571428571427,32,2.0,0,0.20689655172413793,1,0.03225806451612903
5517,141892,unknown_local_sample,rembert,Multilingual,16,1,27,1.6875,0,0.18518518518518517,29,1.8125,0,0.17857142857142858,2,0.07407407407407407
5517,141892,unknown_local_sample,ro_bert,Monolingual,16,1,25,1.5625,0,0.2,23,1.4375,0,0.17391304347826086,-2,-0.08
5517,141892,unknown_local_sample,robert,Monolingual,16,1,27,1.6875,0,0.2222222222222222,27,1.6875,0,0.2222222222222222,0,0.0
5518,76040,unknown_local_sample,mbert,Multilingual,10,1,20,2.0,0,0.25,20,2.0,0,0.25,0,0.0
5518,76040,unknown_local_sample,xlmr,Multilingual,10,1,20,2.0,0,0.2,20,2.0,0,0.2,0,0.0
5518,76040,unknown_local_sample,mt5,Multilingual,10,1,22,2.2,0,0.21052631578947367,22,2.2,0,0.21052631578947367,0,0.0
5518,76040,unknown_local_sample,rembert,Multilingual,10,1,17,1.7,0,0.17647058823529413,17,1.7,0,0.17647058823529413,0,0.0
5518,76040,unknown_local_sample,ro_bert,Monolingual,10,1,15,1.5,0,0.2,15,1.5,0,0.2,0,0.0
5518,76040,unknown_local_sample,robert,Monolingual,10,1,16,1.6,0,0.1875,16,1.6,0,0.1875,0,0.0
5519,143069,unknown_local_sample,mbert,Multilingual,15,7,33,2.2,0,0.21212121212121213,35,2.3333333333333335,0,0.2,2,0.06060606060606061
5519,143069,unknown_local_sample,xlmr,Multilingual,15,7,28,1.8666666666666667,0,0.25,30,2.0,0,0.23333333333333334,2,0.07142857142857142
5519,143069,unknown_local_sample,mt5,Multilingual,15,7,33,2.2,0,0.22580645161290322,35,2.3333333333333335,0,0.21875,2,0.06060606060606061
5519,143069,unknown_local_sample,rembert,Multilingual,15,7,30,2.0,0,0.3,32,2.1333333333333333,0,0.3125,2,0.06666666666666667
5519,143069,unknown_local_sample,ro_bert,Monolingual,15,7,24,1.6,0,0.20833333333333334,19,1.2666666666666666,0,0.21052631578947367,-5,-0.20833333333333334
5519,143069,unknown_local_sample,robert,Monolingual,15,7,26,1.7333333333333334,0,0.19230769230769232,26,1.7333333333333334,0,0.23076923076923078,0,0.0
5520,329400,unknown_local_sample,mbert,Multilingual,20,10,39,1.95,0,0.28205128205128205,44,2.2,0,0.38636363636363635,5,0.1282051282051282
5520,329400,unknown_local_sample,xlmr,Multilingual,20,10,35,1.75,0,0.3142857142857143,39,1.95,0,0.2972972972972973,4,0.11428571428571428
5520,329400,unknown_local_sample,mt5,Multilingual,20,10,38,1.9,0,0.2571428571428571,43,2.15,0,0.2631578947368421,5,0.13157894736842105
5520,329400,unknown_local_sample,rembert,Multilingual,20,10,34,1.7,0,0.29411764705882354,38,1.9,0,0.2972972972972973,4,0.11764705882352941
5520,329400,unknown_local_sample,ro_bert,Monolingual,20,10,32,1.6,0,0.3125,32,1.6,0,0.34375,0,0.0
5520,329400,unknown_local_sample,robert,Monolingual,20,10,33,1.65,0,0.30303030303030304,32,1.6,0,0.3125,-1,-0.030303030303030304
5521,299373,unknown_local_sample,mbert,Multilingual,21,11,35,1.6666666666666667,0,0.17142857142857143,39,1.8571428571428572,0,0.2564102564102564,4,0.11428571428571428
5521,299373,unknown_local_sample,xlmr,Multilingual,21,11,34,1.619047619047619,0,0.17647058823529413,36,1.7142857142857142,0,0.19444444444444445,2,0.058823529411764705
5521,299373,unknown_local_sample,mt5,Multilingual,21,11,39,1.8571428571428572,0,0.3333333333333333,44,2.0952380952380953,0,0.358974358974359,5,0.1282051282051282
5521,299373,unknown_local_sample,rembert,Multilingual,21,11,34,1.619047619047619,0,0.17647058823529413,36,1.7142857142857142,0,0.2222222222222222,2,0.058823529411764705
5521,299373,unknown_local_sample,ro_bert,Monolingual,21,11,29,1.380952380952381,0,0.20689655172413793,29,1.380952380952381,0,0.20689655172413793,0,0.0
5521,299373,unknown_local_sample,robert,Monolingual,21,11,32,1.5238095238095237,0,0.28125,32,1.5238095238095237,0,0.28125,0,0.0
5522,193787,unknown_local_sample,mbert,Multilingual,21,5,35,1.6666666666666667,0,0.14285714285714285,36,1.7142857142857142,0,0.16666666666666666,1,0.02857142857142857
5522,193787,unknown_local_sample,xlmr,Multilingual,21,5,27,1.2857142857142858,0,0.1111111111111111,28,1.3333333333333333,0,0.17857142857142858,1,0.037037037037037035
5522,193787,unknown_local_sample,mt5,Multilingual,21,5,32,1.5238095238095237,0,0.10344827586206896,35,1.6666666666666667,0,0.1,3,0.09375
5522,193787,unknown_local_sample,rembert,Multilingual,21,5,30,1.4285714285714286,0,0.13333333333333333,30,1.4285714285714286,0,0.2,0,0.0
5522,193787,unknown_local_sample,ro_bert,Monolingual,21,5,23,1.0952380952380953,0,0.08695652173913043,23,1.0952380952380953,0,0.08695652173913043,0,0.0
5522,193787,unknown_local_sample,robert,Monolingual,21,5,28,1.3333333333333333,0,0.25,28,1.3333333333333333,0,0.25,0,0.0
5523,16071,unknown_local_sample,mbert,Multilingual,12,5,15,1.25,0,0.13333333333333333,15,1.25,0,0.13333333333333333,0,0.0
5523,16071,unknown_local_sample,xlmr,Multilingual,12,5,14,1.1666666666666667,0,0.21428571428571427,14,1.1666666666666667,0,0.14285714285714285,0,0.0
5523,16071,unknown_local_sample,mt5,Multilingual,12,5,19,1.5833333333333333,0,0.3125,19,1.5833333333333333,0,0.1875,0,0.0
5523,16071,unknown_local_sample,rembert,Multilingual,12,5,15,1.25,0,0.26666666666666666,16,1.3333333333333333,0,0.25,1,0.06666666666666667
5523,16071,unknown_local_sample,ro_bert,Monolingual,12,5,13,1.0833333333333333,0,0.15384615384615385,13,1.0833333333333333,0,0.15384615384615385,0,0.0
5523,16071,unknown_local_sample,robert,Monolingual,12,5,13,1.0833333333333333,0,0.15384615384615385,13,1.0833333333333333,0,0.15384615384615385,0,0.0
5524,179667,unknown_local_sample,mbert,Multilingual,21,2,33,1.5714285714285714,0,0.18181818181818182,33,1.5714285714285714,0,0.15151515151515152,0,0.0
5524,179667,unknown_local_sample,xlmr,Multilingual,21,2,30,1.4285714285714286,0,0.13333333333333333,31,1.4761904761904763,0,0.12903225806451613,1,0.03333333333333333
5524,179667,unknown_local_sample,mt5,Multilingual,21,2,32,1.5238095238095237,0,0.10344827586206896,34,1.619047619047619,0,0.12903225806451613,2,0.0625
5524,179667,unknown_local_sample,rembert,Multilingual,21,2,29,1.380952380952381,0,0.13793103448275862,30,1.4285714285714286,0,0.13333333333333333,1,0.034482758620689655
5524,179667,unknown_local_sample,ro_bert,Monolingual,21,2,27,1.2857142857142858,0,0.14814814814814814,26,1.2380952380952381,0,0.15384615384615385,-1,-0.037037037037037035
5524,179667,unknown_local_sample,robert,Monolingual,21,2,32,1.5238095238095237,0,0.15625,32,1.5238095238095237,0,0.15625,0,0.0
5525,88112,unknown_local_sample,mbert,Multilingual,28,14,56,2.0,0,0.21428571428571427,57,2.0357142857142856,0,0.2631578947368421,1,0.017857142857142856
5525,88112,unknown_local_sample,xlmr,Multilingual,28,14,46,1.6428571428571428,0,0.24444444444444444,47,1.6785714285714286,0,0.2391304347826087,1,0.021739130434782608
5525,88112,unknown_local_sample,mt5,Multilingual,28,14,56,2.0,0,0.3137254901960784,59,2.107142857142857,0,0.2692307692307692,3,0.05357142857142857
5525,88112,unknown_local_sample,rembert,Multilingual,28,14,49,1.75,0,0.20408163265306123,49,1.75,0,0.20408163265306123,0,0.0
5525,88112,unknown_local_sample,ro_bert,Monolingual,28,14,42,1.5,0,0.2619047619047619,36,1.2857142857142858,0,0.2222222222222222,-6,-0.14285714285714285
5525,88112,unknown_local_sample,robert,Monolingual,28,14,48,1.7142857142857142,0,0.2916666666666667,46,1.6428571428571428,0,0.2608695652173913,-2,-0.041666666666666664
5526,157255,unknown_local_sample,mbert,Multilingual,13,6,23,1.7692307692307692,0,0.21739130434782608,24,1.8461538461538463,0,0.20833333333333334,1,0.043478260869565216
5526,157255,unknown_local_sample,xlmr,Multilingual,13,6,16,1.2307692307692308,0,0.1875,16,1.2307692307692308,0,0.125,0,0.0
5526,157255,unknown_local_sample,mt5,Multilingual,13,6,23,1.7692307692307692,0,0.25,24,1.8461538461538463,0,0.23809523809523808,1,0.043478260869565216
5526,157255,unknown_local_sample,rembert,Multilingual,13,6,19,1.4615384615384615,0,0.2777777777777778,19,1.4615384615384615,0,0.2222222222222222,0,0.0
5526,157255,unknown_local_sample,ro_bert,Monolingual,13,6,15,1.1538461538461537,0,0.13333333333333333,14,1.0769230769230769,0,0.07142857142857142,-1,-0.06666666666666667
5526,157255,unknown_local_sample,robert,Monolingual,13,6,19,1.4615384615384615,0,0.21052631578947367,19,1.4615384615384615,0,0.21052631578947367,0,0.0
5527,53688,unknown_local_sample,mbert,Multilingual,54,22,87,1.6111111111111112,2,0.18823529411764706,83,1.537037037037037,2,0.13580246913580246,-4,-0.04597701149425287
5527,53688,unknown_local_sample,xlmr,Multilingual,54,22,74,1.3703703703703705,0,0.13513513513513514,76,1.4074074074074074,0,0.15789473684210525,2,0.02702702702702703
5527,53688,unknown_local_sample,mt5,Multilingual,54,22,94,1.7407407407407407,0,0.18823529411764706,99,1.8333333333333333,0,0.2087912087912088,5,0.05319148936170213
5527,53688,unknown_local_sample,rembert,Multilingual,54,22,77,1.4259259259259258,0,0.17105263157894737,71,1.3148148148148149,0,0.15492957746478872,-6,-0.07792207792207792
