sent_idx,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
8426,ro_bert,Monolingual,12,6,18,1.5,0,0.3333333333333333,16,1.3333333333333333,0,0.3125,-2,-0.1111111111111111
8426,robert,Monolingual,12,6,21,1.75,0,0.23809523809523808,21,1.75,0,0.23809523809523808,0,0.0
8427,mbert,Multilingual,11,7,23,2.090909090909091,0,0.21739130434782608,22,2.0,0,0.18181818181818182,-1,-0.043478260869565216
8427,xlmr,Multilingual,11,7,21,1.9090909090909092,0,0.1,22,2.0,0,0.14285714285714285,1,0.047619047619047616
8427,ro_bert,Monolingual,11,7,15,1.3636363636363635,0,0.13333333333333333,15,1.3636363636363635,0,0.13333333333333333,0,0.0
8427,robert,Monolingual,11,7,17,1.5454545454545454,0,0.23529411764705882,17,1.5454545454545454,0,0.23529411764705882,0,0.0
8428,mbert,Multilingual,36,9,66,1.8333333333333333,0,0.18181818181818182,67,1.8611111111111112,0,0.14925373134328357,1,0.015151515151515152
8428,xlmr,Multilingual,36,9,56,1.5555555555555556,0,0.16071428571428573,56,1.5555555555555556,0,0.16071428571428573,0,0.0
8428,ro_bert,Monolingual,36,9,45,1.25,0,0.17777777777777778,42,1.1666666666666667,0,0.14285714285714285,-3,-0.06666666666666667
8428,robert,Monolingual,36,9,55,1.5277777777777777,0,0.18181818181818182,55,1.5277777777777777,0,0.18181818181818182,0,0.0
8429,mbert,Multilingual,7,6,19,2.7142857142857144,0,0.3684210526315789,24,3.4285714285714284,0,0.5,5,0.2631578947368421
8429,xlmr,Multilingual,7,6,15,2.142857142857143,0,0.4,16,2.2857142857142856,0,0.4375,1,0.06666666666666667
8429,ro_bert,Monolingual,7,6,13,1.8571428571428572,0,0.23076923076923078,13,1.8571428571428572,0,0.3076923076923077,0,0.0
8429,robert,Monolingual,7,6,12,1.7142857142857142,0,0.16666666666666666,14,2.0,0,0.2857142857142857,2,0.16666666666666666
8430,mbert,Multilingual,11,13,27,2.4545454545454546,0,0.2962962962962963,33,3.0,0,0.48484848484848486,6,0.2222222222222222
8430,xlmr,Multilingual,11,13,24,2.1818181818181817,0,0.2916666666666667,30,2.727272727272727,0,0.4,6,0.25
8430,ro_bert,Monolingual,11,13,23,2.090909090909091,0,0.2608695652173913,23,2.090909090909091,0,0.30434782608695654,0,0.0
8430,robert,Monolingual,11,13,22,2.0,0,0.22727272727272727,23,2.090909090909091,0,0.30434782608695654,1,0.045454545454545456
8431,mbert,Multilingual,18,4,36,2.0,0,0.3888888888888889,37,2.0555555555555554,0,0.3783783783783784,1,0.027777777777777776
8431,xlmr,Multilingual,18,4,29,1.6111111111111112,0,0.3103448275862069,29,1.6111111111111112,0,0.2413793103448276,0,0.0
8431,ro_bert,Monolingual,18,4,27,1.5,0,0.37037037037037035,27,1.5,0,0.37037037037037035,0,0.0
8431,robert,Monolingual,18,4,30,1.6666666666666667,0,0.36666666666666664,30,1.6666666666666667,0,0.36666666666666664,0,0.0
8432,mbert,Multilingual,12,4,24,2.0,0,0.20833333333333334,25,2.0833333333333335,0,0.2,1,0.041666666666666664
8432,xlmr,Multilingual,12,4,19,1.5833333333333333,0,0.10526315789473684,20,1.6666666666666667,0,0.1,1,0.05263157894736842
8432,ro_bert,Monolingual,12,4,19,1.5833333333333333,0,0.21052631578947367,18,1.5,0,0.2222222222222222,-1,-0.05263157894736842
8432,robert,Monolingual,12,4,22,1.8333333333333333,0,0.22727272727272727,22,1.8333333333333333,0,0.22727272727272727,0,0.0
8433,mbert,Multilingual,19,12,31,1.631578947368421,0,0.22580645161290322,38,2.0,0,0.3684210526315789,7,0.22580645161290322
8433,xlmr,Multilingual,19,12,30,1.5789473684210527,0,0.26666666666666666,34,1.7894736842105263,0,0.30303030303030304,4,0.13333333333333333
8433,ro_bert,Monolingual,19,12,29,1.5263157894736843,0,0.27586206896551724,27,1.4210526315789473,0,0.2962962962962963,-2,-0.06896551724137931
8433,robert,Monolingual,19,12,28,1.4736842105263157,0,0.2857142857142857,27,1.4210526315789473,0,0.2962962962962963,-1,-0.03571428571428571
8434,mbert,Multilingual,5,5,18,3.6,0,0.3888888888888889,21,4.2,0,0.5714285714285714,3,0.16666666666666666
8434,xlmr,Multilingual,5,5,15,3.0,0,0.26666666666666666,15,3.0,0,0.26666666666666666,0,0.0
8434,ro_bert,Monolingual,5,5,16,3.2,0,0.375,16,3.2,0,0.4375,0,0.0
8434,robert,Monolingual,5,5,16,3.2,0,0.3125,16,3.2,0,0.3125,0,0.0
8435,mbert,Multilingual,10,6,22,2.2,0,0.22727272727272727,28,2.8,0,0.4642857142857143,6,0.2727272727272727
8435,xlmr,Multilingual,10,6,18,1.8,0,0.16666666666666666,24,2.4,0,0.34782608695652173,6,0.3333333333333333
